elevation;length;velocity
15;20;6
15;22;6,5
15;24;6,5
15;26;7
15;28;7
15;30;7,5
15;32;7,5
15;34;8
15;36;8
15;38;8,5
15;40;8,5
15;42;8,5
15;44;9
15;46;9
15;48;9,5
15;50;9,5
15;52;9,5
15;54;10
15;56;10
15;58;10
15;60;10,5
15;62;10,5
15;64;10,5
15;66;11
15;68;11
15;70;11
15;72;11,5
15;74;11,5
15;76;11,5
15;78;12
15;80;12
30;20;8
30;22;8,5
30;24;9
30;26;9
30;28;9,5
30;30;10
30;32;10
30;34;10,5
30;36;10,5
30;38;11
30;40;11,5
30;42;11,5
30;44;12
30;46;12
30;48;12,5
30;50;12,5
30;52;13
30;54;13
30;56;14
30;58;14
30;60;14
30;62;14
30;64;14,5
30;66;14,5
30;68;14,5
30;70;15
30;72;15
30;74;15,5
30;76;15,5
30;78;16
30;80;16
45;20;9,5
45;22;10
45;24;10,5
45;26;11
45;28;11,5
45;30;12
45;32;12,5
45;34;12,5
45;36;13
45;38;13,5
45;40;13,5
45;42;14
45;44;14,5
45;46;14,5
45;48;15
45;50;15,5
45;52;15,5
45;54;16
45;56;16,5
45;58;16,5
45;60;17
45;62;17
45;64;17,5
45;66;17,5
45;68;18
45;70;18
45;72;18,5
45;74;18,5
45;76;19
45;78;19,5
45;80;19,5
60;20;11,5
60;22;12
60;24;12,5
60;26;13
60;28;13,5
60;30;14
60;32;14,5
60;34;15
60;36;15
60;38;15,5
60;40;16
60;42;16,5
60;44;17
60;46;17
60;48;17,5
60;50;18
60;52;18,5
60;54;18,5
60;56;19
60;58;19,5
60;60;19,5
60;62;20
60;64;20,5
60;66;20,5
60;68;21
60;70;21,5
60;72;21,5
60;74;22
60;76;22
60;78;22,5
60;80;23
75;20;13
75;22;13,5
75;24;14
75;26;14,5
75;28;15,5
75;30;16
75;32;16,5
75;34;17
75;36;17,5
75;38;18
75;40;18,5
75;42;19
75;44;19,5
75;46;19,5
75;48;20
75;50;20,5
75;52;21
75;54;21,5
75;56;21,5
75;58;22
75;60;22,5
75;62;23
75;64;23,5
75;66;23,5
75;68;24
75;70;24,5
75;72;24,5
75;74;25
75;76;25,5
75;78;26
75;80;26
90;20;14,5
90;22;15,5
90;24;16
90;26;16,5
90;28;17,5
90;30;18
90;32;18,5
90;34;19
90;36;19,5
90;38;20,5
90;40;21
90;42;21,5
90;44;22
90;46;22,5
90;48;23
90;50;23,5
90;52;23,5
90;54;24
90;56;24,5
90;58;25
90;60;25,5
90;62;26
90;64;26,5
90;66;27
90;68;27
90;70;27,5
90;72;28
90;74;28,5
90;76;29
90;78;29
90;80;29,5
